region,name,시군,측정소,SO2,NO2,O3,CO,PM10 ,PM2.5
32010,Chuncheon,춘천시,춘천평균,0.002,0.014,0.037,0.4,39,16
32310,Hongcheon ,홍천군,홍천읍,0.003,0.012,0.037,0.5,33,17
32360,Cheorwon ,철원군,갈말읍,0.003,0.008,0.047,0.4,39,17
32370,Hwacheon,화천군,화천읍,0.001,0.006,0.04,0.5,35,16
32380,Yanggu,양구군,양구읍,0.002,0.008,0.039,0.5,40,17
32390,Inje,인제군,인제읍,0.002,0.007,0.045,0.4,33,17
32020,Wonju,원주시,원주평균,0.002,0.015,0.035,0.3,44,21
32320,Hoengseong,횡성군,횡성읍,0.001,0.011,0.038,0.5,42,21
32330,Yeongwol,영월군,영월읍,0.002,0.007,0.042,0.4,41,20
32340,Pyeongchang,평창군,평창읍,0.002,0.008,0.04,0.3,43,20
32350,Jeongseon,정선군,정선읍,0.002,0.008,0.044,0.3,32,15
32060,Sokcho,속초시,금호동,0.005,0.01,0.049,0.5,43,17
32400,Goseong,고성군,상리,0.002,0.006,0.041,0.6,35,14
32410,Yangyang,양양군,양양읍,0.002,0.007,0.04,0.4,35,14
32030,Gangneung,강릉시,옥천동,0.002,0.013,0.042,0.3,36,16
32040,Donghae,동해시,천곡동,0.002,0.017,0.04,0.4,38,18
32050,Taebaek,태백시,황지동,0.003,0.009,0.046,0.4,36,17
32070,Samcheok,삼척시,남양동,0.002,0.014,0.04,0.3,35,17
